client,τ,θ*,final_pnl
ClientA,5,0.5400,11050.5954
ClientA,10,0.5900,13492.0035
ClientA,15,0.5300,14556.4299
ClientA,20,0.5300,17510.6132
ClientA,25,0.5400,19722.9853
ClientA,30,0.5000,20921.2582
ClientB,5,0.5300,9428.3614
ClientB,10,0.5300,10576.6913
ClientB,15,0.5300,11829.0735
ClientB,20,0.5700,12196.5336
ClientB,25,0.5700,13937.1934
ClientB,30,0.5700,15057.0745
ClientC,5,0.5600,8655.1764
ClientC,10,0.6000,9424.4797
ClientC,15,0.5900,9661.3334
ClientC,20,0.5200,9408.2929
ClientC,25,0.5900,9693.2008
ClientC,30,0.5900,9624.5902
ClientD,5,0.5000,4822.1161
ClientD,10,0.5100,3555.4860
ClientD,15,0.5400,2052.5807
ClientD,20,0.5200,86.9896
ClientD,25,0.5400,-1132.4691
ClientD,30,0.0000,0.0000
ClientE,5,0.5000,3392.0326
ClientE,10,0.4600,153.0372
ClientE,15,0.4500,-474.4177
ClientE,20,0.4500,-565.0005
ClientE,25,0.4000,-152.0020
ClientE,30,0.4500,-426.3316
ClientF,5,0.5900,2261.0623
ClientF,10,0.0000,0.0000
ClientF,15,0.0000,0.0000
ClientF,20,0.0000,0.0000
ClientF,25,0.0000,0.0000
ClientF,30,0.0000,0.0000
